code_dept,revenu_median,nb_menages,pop_departement,taux_chomage,nb_etablissements,nb_creations_entreprises,densite_etablissements,dynamisme_entrepreneurial,inflation_nationale,ipc_national
62,22170.0,611129.0,1412785.0,8.925,2829396.0,335206.0,2002.7081261479984,237.26610913904096,1.64,106.49
63,22335.0,296531.0,621622.0,6.8,1562064.0,212896.0,2512.884035635804,342.4846610962932,1.64,106.49
64,22835.0,316715.0,659138.0,6.325,1552542.0,288100.0,2355.4126753426444,437.0860123373254,1.64,106.49
65,22330.0,100195.0,201808.0,8.7,476022.0,87298.0,2358.7865694125107,432.5794814873543,1.64,106.49
66,21250.0,227685.0,469268.0,12.225,901446.0,203456.0,1920.962008916014,433.5603535719461,1.64,106.49
67,25770.0,480996.0,1080552.0,6.725,2933088.0,396172.0,2714.4348444128555,366.6385328980003,1.64,106.49
68,27400.0,327331.0,738352.0,7.775,1661160.0,227276.0,2249.821223481483,307.81524259431814,1.64,106.49
69,25650.0,1020702.0,2223305.0,7.1,5692956.0,907616.0,2560.582556149516,408.2282907653246,1.64,106.49
70,22270.0,102909.0,223722.0,6.725,420456.0,60816.0,1879.3681443934884,271.8373695926194,1.64,106.49
71,22780.0,247255.0,522141.0,6.55,1157952.0,161684.0,2217.699816716174,309.6558209372564,1.64,106.49
72,22260.0,247718.0,547411.0,7.7,1218600.0,135162.0,2226.115295454421,246.91137006746303,1.64,106.49
73,24500.0,196257.0,425042.0,6.5,1245534.0,229540.0,2930.3786449339123,540.0407489142249,1.64,106.49
74,30000.0,352936.0,789392.0,6.425,1808544.0,363880.0,2291.059448284249,460.96236090560836,1.64,106.49
75,33040.0,2014494.0,3916878.0,6.475,11936382.0,2498192.0,3047.422462481599,637.8018411602302,1.64,106.49
76,23385.0,542582.0,1193686.0,8.575,2956062.0,336566.0,2476.4150706299647,281.9552210547833,1.64,106.49
77,26030.0,557506.0,1392255.0,7.2,3022230.0,485950.0,2170.744583427605,349.0380713303238,1.64,106.49
78,29770.0,587313.0,1454312.0,6.675000000000001,3419910.0,569008.0,2351.565551270979,391.25579655534716,1.64,106.49
79,21650.0,167093.0,368575.0,5.65,857010.0,97824.0,2325.1983992403175,265.4113816726582,1.64,106.49
80,22310.0,236015.0,519464.0,9.15,1232316.0,142028.0,2372.283738622888,273.41259452050576,1.64,106.49
81,21950.0,173925.0,375782.0,8.025,740478.0,138322.0,1970.4988530584221,368.09107408018474,1.64,106.49
82,21560.0,113344.0,257049.0,9.125,471120.0,89226.0,1832.8023061750873,347.11669759462205,1.64,106.49
83,23225.0,503640.0,1051297.0,8.125,1975212.0,549026.0,1878.8334790263837,522.2368179496375,1.64,106.49
84,23050.0,247954.0,553448.0,10.1,1255212.0,269538.0,2267.9854295254477,487.01594368395945,1.64,106.49
85,22260.0,318721.0,708130.0,5.825,1513002.0,211290.0,2136.6161580500757,298.37741657605244,1.64,106.49
86,21520.0,189492.0,404112.0,6.35,982362.0,122012.0,2430.9151918280077,301.92619867759436,1.64,106.49
87,21310.0,169784.0,345426.0,6.9,1208454.0,108262.0,3498.44539785656,313.41589805052314,1.64,106.49
88,22200.0,163345.0,343163.0,8.025,757848.0,110596.0,2208.419905409383,322.2841623368486,1.64,106.49
89,22765.0,149810.0,320846.0,7.025,686520.0,97264.0,2139.718120219669,303.1485510182455,1.64,106.49
90,25830.0,60450.0,131828.0,8.9,301170.0,37384.0,2284.567770124708,283.5816366780957,1.64,106.49
91,28090.0,520795.0,1297922.0,6.75,2924652.0,465858.0,2253.334175705474,358.9260371578569,1.64,106.49
92,31905.0,695869.0,1567731.0,6.55,6832014.0,851250.0,4357.899410039095,542.9821825300386,1.64,106.49
93,19400.0,603965.0,1563593.0,10.9,4078668.0,766170.0,2608.522806126658,490.006030981208,1.64,106.49
94,24990.0,570874.0,1353210.0,7.7,3466410.0,580818.0,2561.6201476489236,429.2149777196444,1.64,106.49
95,27745.0,472524.0,1247153.0,8.7,2499342.0,484294.0,2004.0379969418348,388.31963680478657,1.64,106.49
97,17875.0,482016.0,1190956.0,,,,,,1.64,106.49
