code_commune,nb_menages,nb_personnes,revenu_median,code_dept,annee
01175,349.0,841.0,22580.0,01,2021
01177,84.0,183.0,24680.0,01,2021
01179,846.0,1961.0,24460.0,01,2021
01180,318.0,763.0,55340.0,01,2021
01181,447.0,1206.0,25220.0,01,2021
01183,573.0,1474.0,25240.0,01,2021
01184,364.0,794.0,24580.0,01,2021
01185,1978.0,3861.0,23080.0,01,2021
01187,322.0,645.0,23000.0,01,2021
01188,249.0,655.0,24070.0,01,2021
01189,434.0,1016.0,28040.0,01,2021
01191,69.0,152.0,24140.0,01,2021
01192,934.0,2213.0,23500.0,01,2021
01193,97.0,212.0,23870.0,01,2021
01194,2598.0,6032.0,24030.0,01,2021
01195,716.0,1752.0,25630.0,01,2021
01196,490.0,1211.0,23020.0,01,2021
01197,177.0,381.0,25780.0,01,2021
01198,98.0,253.0,25480.0,01,2021
01199,979.0,2105.0,23050.0,01,2021
01200,85.0,208.0,23480.0,01,2021
01202,3302.0,7273.0,23820.0,01,2021
01203,542.0,1298.0,24820.0,01,2021
01204,286.0,688.0,25910.0,01,2021
01206,115.0,279.0,24700.0,01,2021
01207,131.0,352.0,27830.0,01,2021
01208,68.0,130.0,22170.0,01,2021
01209,284.0,713.0,31670.0,01,2021
01210,109.0,203.0,24020.0,01,2021
01211,635.0,1481.0,24780.0,01,2021
01212,288.0,697.0,22570.0,01,2021
01213,542.0,1424.0,24160.0,01,2021
01214,71.0,153.0,26540.0,01,2021
01215,54.0,132.0,23850.0,01,2021
01216,360.0,806.0,24130.0,01,2021
01219,78.0,155.0,22500.0,01,2021
01224,1328.0,3408.0,23420.0,01,2021
01225,151.0,352.0,28430.0,01,2021
01227,273.0,661.0,25450.0,01,2021
01228,267.0,625.0,26830.0,01,2021
01229,517.0,1198.0,24580.0,01,2021
01230,143.0,317.0,21030.0,01,2021
01231,834.0,2061.0,25260.0,01,2021
01232,973.0,2214.0,24540.0,01,2021
01233,54.0,119.0,24140.0,01,2021
01234,68.0,144.0,23750.0,01,2021
01235,468.0,1186.0,22870.0,01,2021
01236,409.0,980.0,24430.0,01,2021
01237,648.0,1659.0,24590.0,01,2021
01238,1060.0,2843.0,28590.0,01,2021
01239,257.0,607.0,23900.0,01,2021
01240,279.0,622.0,24660.0,01,2021
01241,584.0,1346.0,26000.0,01,2021
01242,59.0,127.0,20070.0,01,2021
01243,505.0,1289.0,27580.0,01,2021
01244,3395.0,7862.0,24890.0,01,2021
01245,392.0,906.0,25140.0,01,2021
01246,936.0,2217.0,23740.0,01,2021
01247,138.0,294.0,31560.0,01,2021
01248,913.0,2303.0,29130.0,01,2021
01249,4028.0,9403.0,26720.0,01,2021
01250,716.0,1979.0,27460.0,01,2021
01252,327.0,872.0,26260.0,01,2021
01254,859.0,2251.0,27200.0,01,2021
01255,264.0,590.0,22080.0,01,2021
01257,145.0,356.0,30110.0,01,2021
01258,473.0,1223.0,27440.0,01,2021
01259,263.0,673.0,24810.0,01,2021
01260,120.0,343.0,28850.0,01,2021
01261,260.0,687.0,28010.0,01,2021
01262,2980.0,6928.0,23590.0,01,2021
01263,1651.0,3927.0,25970.0,01,2021
01264,409.0,1005.0,25180.0,01,2021
01265,1522.0,3452.0,21010.0,01,2021
01266,1256.0,2471.0,22720.0,01,2021
01267,398.0,975.0,25120.0,01,2021
01268,99.0,246.0,24830.0,01,2021
01269,1398.0,3071.0,18370.0,01,2021
01272,686.0,1556.0,23200.0,01,2021
01273,747.0,1787.0,23060.0,01,2021
