periode,taux_chomage,description,zone,id_serie,annee
1982-Q1,5.2,Taux de chômage localisé par département - Aveyron,D12,1515862,1982
1982-Q2,5.3,Taux de chômage localisé par département - Aveyron,D12,1515862,1982
1982-Q3,5.5,Taux de chômage localisé par département - Aveyron,D12,1515862,1982
1982-Q4,5.5,Taux de chômage localisé par département - Aveyron,D12,1515862,1982
1983-Q1,5.6,Taux de chômage localisé par département - Aveyron,D12,1515862,1983
1983-Q2,5.6,Taux de chômage localisé par département - Aveyron,D12,1515862,1983
1983-Q3,5.7,Taux de chômage localisé par département - Aveyron,D12,1515862,1983
1983-Q4,6.0,Taux de chômage localisé par département - Aveyron,D12,1515862,1983
1984-Q1,6.2,Taux de chômage localisé par département - Aveyron,D12,1515862,1984
1984-Q2,6.3,Taux de chômage localisé par département - Aveyron,D12,1515862,1984
1984-Q3,6.4,Taux de chômage localisé par département - Aveyron,D12,1515862,1984
1984-Q4,6.5,Taux de chômage localisé par département - Aveyron,D12,1515862,1984
1985-Q1,6.5,Taux de chômage localisé par département - Aveyron,D12,1515862,1985
1985-Q2,6.4,Taux de chômage localisé par département - Aveyron,D12,1515862,1985
1985-Q3,6.6,Taux de chômage localisé par département - Aveyron,D12,1515862,1985
1985-Q4,6.5,Taux de chômage localisé par département - Aveyron,D12,1515862,1985
1986-Q1,6.4,Taux de chômage localisé par département - Aveyron,D12,1515862,1986
1986-Q2,6.5,Taux de chômage localisé par département - Aveyron,D12,1515862,1986
1986-Q3,6.4,Taux de chômage localisé par département - Aveyron,D12,1515862,1986
1986-Q4,6.3,Taux de chômage localisé par département - Aveyron,D12,1515862,1986
1987-Q1,6.4,Taux de chômage localisé par département - Aveyron,D12,1515862,1987
1987-Q2,6.4,Taux de chômage localisé par département - Aveyron,D12,1515862,1987
1987-Q3,6.1,Taux de chômage localisé par département - Aveyron,D12,1515862,1987
1987-Q4,6.1,Taux de chômage localisé par département - Aveyron,D12,1515862,1987
1988-Q1,6.1,Taux de chômage localisé par département - Aveyron,D12,1515862,1988
1988-Q2,6.0,Taux de chômage localisé par département - Aveyron,D12,1515862,1988
1988-Q3,5.9,Taux de chômage localisé par département - Aveyron,D12,1515862,1988
1988-Q4,5.7,Taux de chômage localisé par département - Aveyron,D12,1515862,1988
1989-Q1,5.6,Taux de chômage localisé par département - Aveyron,D12,1515862,1989
1989-Q2,5.5,Taux de chômage localisé par département - Aveyron,D12,1515862,1989
1989-Q3,5.4,Taux de chômage localisé par département - Aveyron,D12,1515862,1989
1989-Q4,5.4,Taux de chômage localisé par département - Aveyron,D12,1515862,1989
1990-Q1,5.5,Taux de chômage localisé par département - Aveyron,D12,1515862,1990
1990-Q2,5.5,Taux de chômage localisé par département - Aveyron,D12,1515862,1990
1990-Q3,5.4,Taux de chômage localisé par département - Aveyron,D12,1515862,1990
1990-Q4,5.3,Taux de chômage localisé par département - Aveyron,D12,1515862,1990
1991-Q1,5.3,Taux de chômage localisé par département - Aveyron,D12,1515862,1991
1991-Q2,5.3,Taux de chômage localisé par département - Aveyron,D12,1515862,1991
1991-Q3,5.3,Taux de chômage localisé par département - Aveyron,D12,1515862,1991
1991-Q4,5.3,Taux de chômage localisé par département - Aveyron,D12,1515862,1991
1992-Q1,5.4,Taux de chômage localisé par département - Aveyron,D12,1515862,1992
1992-Q2,5.5,Taux de chômage localisé par département - Aveyron,D12,1515862,1992
1992-Q3,5.6,Taux de chômage localisé par département - Aveyron,D12,1515862,1992
1992-Q4,5.6,Taux de chômage localisé par département - Aveyron,D12,1515862,1992
1993-Q1,5.5,Taux de chômage localisé par département - Aveyron,D12,1515862,1993
1993-Q2,5.6,Taux de chômage localisé par département - Aveyron,D12,1515862,1993
1993-Q3,5.8,Taux de chômage localisé par département - Aveyron,D12,1515862,1993
1993-Q4,5.9,Taux de chômage localisé par département - Aveyron,D12,1515862,1993
1994-Q1,6.0,Taux de chômage localisé par département - Aveyron,D12,1515862,1994
1994-Q2,6.1,Taux de chômage localisé par département - Aveyron,D12,1515862,1994
1994-Q3,6.0,Taux de chômage localisé par département - Aveyron,D12,1515862,1994
1994-Q4,5.9,Taux de chômage localisé par département - Aveyron,D12,1515862,1994
1995-Q1,5.9,Taux de chômage localisé par département - Aveyron,D12,1515862,1995
1995-Q2,5.7,Taux de chômage localisé par département - Aveyron,D12,1515862,1995
1995-Q3,5.6,Taux de chômage localisé par département - Aveyron,D12,1515862,1995
1995-Q4,5.7,Taux de chômage localisé par département - Aveyron,D12,1515862,1995
1996-Q1,6.0,Taux de chômage localisé par département - Aveyron,D12,1515862,1996
1996-Q2,6.2,Taux de chômage localisé par département - Aveyron,D12,1515862,1996
1996-Q3,6.2,Taux de chômage localisé par département - Aveyron,D12,1515862,1996
1996-Q4,6.3,Taux de chômage localisé par département - Aveyron,D12,1515862,1996
1997-Q1,6.3,Taux de chômage localisé par département - Aveyron,D12,1515862,1997
1997-Q2,6.2,Taux de chômage localisé par département - Aveyron,D12,1515862,1997
1997-Q3,6.2,Taux de chômage localisé par département - Aveyron,D12,1515862,1997
1997-Q4,6.2,Taux de chômage localisé par département - Aveyron,D12,1515862,1997
1998-Q1,6.1,Taux de chômage localisé par département - Aveyron,D12,1515862,1998
1998-Q2,6.0,Taux de chômage localisé par département - Aveyron,D12,1515862,1998
1998-Q3,5.9,Taux de chômage localisé par département - Aveyron,D12,1515862,1998
1998-Q4,5.9,Taux de chômage localisé par département - Aveyron,D12,1515862,1998
1999-Q1,6.0,Taux de chômage localisé par département - Aveyron,D12,1515862,1999
1999-Q2,6.0,Taux de chômage localisé par département - Aveyron,D12,1515862,1999
1999-Q3,5.9,Taux de chômage localisé par département - Aveyron,D12,1515862,1999
1999-Q4,5.7,Taux de chômage localisé par département - Aveyron,D12,1515862,1999
2000-Q1,5.5,Taux de chômage localisé par département - Aveyron,D12,1515862,2000
2000-Q2,5.3,Taux de chômage localisé par département - Aveyron,D12,1515862,2000
